Point,lat,lon,planeType,Common_ter,Dip,Dip_Azimuth
337,38.8743556,-110.2710947,trough,Paleocurrent,27.58,333.99
338,38.8743681,-110.2710682,AS,AccretionSurface,5.84,61.86
339,38.8743274,-110.2710753,trough,Paleocurrent,21.29,0.44
340,38.8742446,-110.2710414,trough,Paleocurrent,28.95,13.65
341,38.8742637,-110.271031,AS,AccretionSurface,12.62,40.23
342,38.8740042,-110.2708831,trough,Paleocurrent,20.55,0.32
343,38.8740042,-110.2708831,AS,AccretionSurface,18.03,42.48
344,38.8741674,-110.2712804,trough,Paleocurrent,43.07,286.96
345,38.8740567,-110.2712412,trough,Paleocurrent,28.77,299.1
346,38.8739257,-110.2713857,trough,Paleocurrent,28.33,343.63
347,38.8738374,-110.271483,trough,Paleocurrent,22.01,325.49
348,38.8738291,-110.2714249,AS,AccretionSurface,8.8,68.38
349,38.872159,-110.2711832,AS,AccretionSurface,16.33,291.25
350,38.8720792,-110.2711929,trough,Paleocurrent,21,349
351,38.8718659,-110.2711205,AS,AccretionSurface,9.71,265.17
352,38.8728808,-110.2705227,AS,AccretionSurface,8.88,312.3
353,38.8729098,-110.270573,AS,AccretionSurface,8.45,324.28
354,38.8748403,-110.2706977,AS,AccretionSurface,8.88,274.96
355,38.8748181,-110.2707138,AS,AccretionSurface,6.83,279.78
356,38.8741144,-110.270977,AS,AccretionSurface,13.19,73.95
357,38.8741877,-110.2710347,AS,AccretionSurface,5.54,66.56
358,38.8742084,-110.2710424,trough,Paleocurrent,31.76,353.63
359,38.8739124,-110.2708687,AS,AccretionSurface,9.23,72.53
360,38.8738215,-110.2708446,AS,AccretionSurface,7.48,53.06
361,38.8738461,-110.2708701,trough,Paleocurrent,30.81,328.79
362,38.8739332,-110.2708835,trough,Paleocurrent,22.84,317.86
363,38.8738059,-110.2708164,AS,AccretionSurface,12.42,42.98
364,38.8737453,-110.2708687,trough,Paleocurrent,25.56,19.34
365,38.8734939,-110.2708228,AS,AccretionSurface,12.21,51.79
366,38.8734362,-110.2707041,AS,AccretionSurface,9.19,277.31
367,38.873579,-110.2707044,trough,Paleocurrent,17.22,46.83
368,38.8736179,-110.2707249,trough,Paleocurrent,21.46,35.65
369,38.8735798,-110.2706568,trough,Paleocurrent,26.19,0.34
370,38.8735341,-110.2706686,trough,Paleocurrent,16.36,354.98
371,38.8733979,-110.2706816,trough,Paleocurrent,28,27.14
372,38.8732728,-110.2703832,trough,Paleocurrent,21.73,349.94
373,38.8731588,-110.2703809,AS,AccretionSurface,8.94,302.86
374,38.8724804,-110.271089,AS,AccretionSurface,9.73,94.6
375,38.8724629,-110.2711728,trough,Paleocurrent,20.71,67.51
376,38.8723893,-110.2711249,AS,AccretionSurface,13.21,275.74
377,38.8723893,-110.2711249,trough,Paleocurrent,-,10
378,38.8723556,-110.2711678,AS,AccretionSurface,15.25,269.27
379,38.8723556,-110.2711678,trough,Paleocurrent,-,15
380,38.8723945,-110.2712707,AS,AccretionSurface,9.53,253.52
381,38.8723945,-110.2712707,trough,Paleocurrent,15.32,27.39
382,38.8724605,-110.2712687,trough,Paleocurrent,16.96,352.37
383,38.8725167,-110.2712224,AS,AccretionSurface,6.87,71.07
384,38.8726712,-110.2711752,AS,AccretionSurface,18.11,122.84
385,38.8728129,-110.2711825,trough,Paleocurrent,26.29,13.21
386,38.872844,-110.271268,trough,Paleocurrent,11.9,316.61
387,38.8712877,-110.2705995,AS,AccretionSurface,13.29,55.67
388,38.8712877,-110.2705995,trough,Paleocurrent,-,6
389,38.8702603,-110.2714025,trough,Paleocurrent,27.61,51.38
390,38.8699455,-110.2716378,AS,AccretionSurface,6.89,343.55
391,38.8699455,-110.2716378,trough,Paleocurrent,18.67,83.23
392,38.8698037,-110.271771,AS,AccretionSurface,15.3,302.1
